frame,class,x1,y1,x2,y2,confidence
0,2,0.0,825.2182006835938,193.90557861328125,1074.109619140625,0.8367286324501038
0,2,264.0193786621094,640.8873291015625,380.5848083496094,738.005615234375,0.7560943961143494
0,2,132.2667999267578,679.0577392578125,251.1216583251953,794.8406372070312,0.6806346774101257
0,2,332.5385437011719,597.3207397460938,441.3626708984375,706.6032104492188,0.6441313028335571
0,2,0.030551433563232422,760.215087890625,41.746543884277344,863.3206787109375,0.6069665551185608
0,2,397.8831787109375,955.7233276367188,485.4566345214844,1079.5902099609375,0.5721856951713562
0,2,385.445068359375,531.2637939453125,446.4510192871094,590.9160766601562,0.443659245967865
0,5,21.542634963989258,628.8109130859375,140.35520935058594,725.2741088867188,0.40375256538391113
0,2,70.11056518554688,484.9784851074219,151.45858764648438,522.0896606445312,0.3679196536540985
0,5,325.7723083496094,760.9362182617188,485.9023132324219,945.8837280273438,0.3594513237476349
0,2,326.2925109863281,760.9955444335938,485.59295654296875,944.1224365234375,0.29516226053237915
0,2,21.919462203979492,629.3173217773438,140.39930725097656,724.472900390625,0.2907845377922058
0,7,21.922204971313477,629.1112670898438,140.69419860839844,724.3997192382812,0.25746357440948486
5,2,0.0,821.23291015625,196.4644775390625,1068.23193359375,0.8783454298973083
5,2,264.3556213378906,640.5057373046875,380.99664306640625,739.048583984375,0.7912592887878418
5,2,331.8495788574219,595.2255249023438,436.6543273925781,676.1944580078125,0.7486103177070618
5,2,132.90699768066406,678.271484375,252.12124633789062,794.5515747070312,0.712898850440979
5,2,0.07204949855804443,757.4818115234375,45.922916412353516,864.6187133789062,0.6597073078155518
5,2,398.7085266113281,956.3065795898438,485.44403076171875,1079.601806640625,0.53001868724823
5,2,326.9153137207031,760.0548706054688,485.76556396484375,950.48095703125,0.4965384602546692
5,2,25.37436294555664,627.5847778320312,142.5557098388672,719.1277465820312,0.488426148891449
5,2,191.3269500732422,578.70556640625,272.6607666015625,647.4894409179688,0.44570857286453247
5,2,385.20916748046875,530.8775024414062,446.3453063964844,590.0527954101562,0.4358431100845337
5,2,214.2762451171875,538.1345825195312,274.85113525390625,596.1849975585938,0.34762704372406006
5,5,326.1337890625,760.6416625976562,486.0,946.5342407226562,0.3324183523654938
5,2,309.5203552246094,529.2586669921875,382.0304870605469,610.0048828125,0.3123560845851898
5,2,365.9056701660156,507.44708251953125,416.91552734375,550.3516235351562,0.29791098833084106
5,2,72.12225341796875,484.6959533691406,159.60079956054688,526.9349365234375,0.25145289301872253
10,2,0.048923492431640625,820.0642700195312,195.85745239257812,1064.670166015625,0.8775630593299866
10,2,265.894775390625,640.3092041015625,380.51751708984375,738.8541259765625,0.7950147986412048
10,2,132.24119567871094,678.5109252929688,251.65469360351562,794.7533569335938,0.7139573693275452
10,2,328.7102355957031,594.67333984375,432.7351379394531,670.0896606445312,0.6889815926551819
10,2,0.049280762672424316,754.3914184570312,48.271812438964844,863.6835327148438,0.633093535900116
10,2,28.110782623291016,625.0936889648438,144.78099060058594,715.49072265625,0.5928220152854919
10,2,327.3058776855469,760.2482299804688,485.770263671875,950.0626831054688,0.47635912895202637
10,2,398.9761962890625,957.5296630859375,485.43115234375,1079.6705322265625,0.4663048982620239
